Base_Model,Stereotype,Fusion,Dataset_Name,Sigma,Round,InitAcc,InitF1,InitFairness,FinalAcc,FinalBaseAcc,FinalF1,FinalBaseF1,FinalFairness,FinalBaseFairness
TextRCNN,Bigram,SUM_Tanh,Parties,0.0,4,0.0,0.0,0,0.5999005964214712,0.5999005964214712,0.5923963443866604,0.5923963443866604,13.850114374582596,13.850114374582596
TextRCNN,Bigram,SUM_Tanh,ChemProt,0.5,4,0.0,0.0,0,0.6598915989159891,0.6598915989159891,0.4404744589191636,0.4404744589191636,49.811689578744456,49.811689578744456
TextRCNN,Bigram,SUM_Tanh,Economy,2.0,4,0.0,0.0,0,0.8070469798657718,0.7936241610738255,0.6074253541133277,0.4862609061284558,19.77088492398405,21.02041300782673
TextCNN,Bigram,SUM_Tanh,HyperPartisan,0.0,1,0.0,0.0,0,0.8153846153846154,0.8,0.7981366459627329,0.7833888746475264,17.505950585881177,17.505950585881177
TextRCNN,Bigram,SUM_Tanh,HyperPartisan,0.0,1,0.0,0.0,0,0.7846153846153846,0.7692307692307693,0.7725,0.7636363636363637,17.48328944080307,17.491758026002653
TextCNN,Bigram,SUM_Tanh,ARC,0.0,1,0.0,0.0,0,0.6875,0.6953125,0.5494764924997483,0.5823872785829308,41.47322275361815,41.54592800308449
TextRCNN,Bigram,SUM_Tanh,ARC,0.0,1,0.0,0.0,0,0.7109375,0.7109375,0.6217321571772253,0.5971918398168796,41.774950981148805,41.81247553706031
TextCNN,Bigram,SUM_Tanh,Twitter,1.05,1,0.0,0.0,0,0.9301470588235294,0.9338235294117648,0.8723793060871712,0.8756981821874683,18.724174507906792,19.00601858163874
TextRCNN,Bigram,SUM_Tanh,Twitter,0.1,1,0.0,0.0,0,0.9117647058823528,0.9117647058823528,0.8456737588652482,0.8402349486049927,18.68397263813313,19.082401870643416
TextCNN,Bigram,SUM_Tanh,Amazon,0.35,1,0.0,0.0,0,0.7416666666666667,0.7383333333333333,0.7416487256059447,0.7383326064794625,16.267465941652834,16.292588266841996
TextCNN,Bigram,SUM_Tanh,SCIERC,0.25,1,0.0,0.0,0,0.6290097629009763,0.6569037656903766,0.4981440428993365,0.4964241664712188,37.47682052374874,39.11647373213364
TextCNN,Bigram,SUM_Tanh,Economy,0.9,1,0.0,0.0,0,0.7533557046979866,0.7348993288590604,0.5917256548503897,0.6135270458836084,17.45677734880028,16.221238886079632
TextRCNN,Bigram,SUM_Tanh,Amazon,0.35,1,0.0,0.0,0,0.7483333333333333,0.7483333333333333,0.7483158552677269,0.7483158552677269,16.150769732741445,16.150769732741445
TextRCNN,Bigram,SUM_Tanh,SCIERC,0.0,1,0.0,0.0,0,0.7447698744769874,0.7447698744769874,0.6330232873803867,0.6330232873803867,37.07129220101356,37.07129220101356
TextRCNN,Bigram,SUM_Tanh,Economy,0.0,1,0.0,0.0,0,0.7667785234899329,0.7667785234899329,0.5997700383108444,0.5997700383108444,18.200945875692177,18.200945875692177
TextCNN,Bigram,SUM_Tanh,Parties,0.1,1,0.0,0.0,0,0.5934393638170974,0.5934393638170974,0.5924325630784836,0.5924325630784836,13.482895265925071,13.482895265925071
TextRCNN,Bigram,SUM_Tanh,Parties,0.0,1,0.0,0.0,0,0.5949304174950298,0.5949304174950298,0.5948078031707578,0.5948078031707578,13.597772126668197,13.597772126668197
TextCNN,Bigram,SUM_Tanh,ChemProt,0.65,1,0.0,0.0,0,0.5745257452574526,0.5857046070460704,0.3275602333378366,0.3284487159385698,49.28106824076918,49.49743576944282
TextRCNN,Bigram,SUM_Tanh,ChemProt,0.4,1,0.0,0.0,0,0.6300813008130082,0.6609078590785907,0.4111371951986345,0.4304515848747333,49.49476373250912,50.03514139670766
TextCNN,Bigram,SUM_Tanh,News,0.7,1,0.0,0.0,0,0.6035364294844482,0.6035364294844482,0.601978579587523,0.601978579587523,54.69304057784694,54.69304057784694
TextRCNN,Bigram,SUM_Tanh,News,0.05,1,0.0,0.0,0,0.7797187899446102,0.7805709416276098,0.7764609790611131,0.7763859348185328,55.11795428577181,55.11740347081437
TextCNN,Bigram,SUM_Tanh,Yelp_Hotel,0.85,1,0.0,0.0,0,0.7007007007007007,0.7022737022737022,0.6089476981073542,0.5784828139001056,23.754300873213342,24.88038910538756
TextRCNN,Bigram,SUM_Tanh,Yelp_Hotel,0.0,1,0.0,0.0,0,0.7401687401687401,0.7400257400257401,0.6425556106966647,0.644719941213563,23.81445707738303,23.74452263201833
TextCNN,Noun,SUM_Tanh,HyperPartisan,0.0,1,0.0,0.0,0,0.8153846153846154,0.8,0.7981366459627329,0.7833888746475264,17.71277520803746,17.505950585881177
TextRCNN,Noun,SUM_Tanh,HyperPartisan,0.55,1,0.0,0.0,0,0.8153846153846154,0.7538461538461538,0.7981366459627329,0.746588693957115,17.933718514004727,17.54737348900677
TextCNN,Noun,SUM_Tanh,ARC,0.0,1,0.0,0.0,0,0.6875,0.6796875,0.5717206734395813,0.5966479345361333,41.49182373585504,41.66698400044904
TextRCNN,Noun,SUM_Tanh,ARC,0.0,1,0.0,0.0,0,0.703125,0.6953125,0.5955450131506469,0.5896926931810652,41.53919361091884,41.53906867100787
