Dataset,Model,Stereotype,N_GRAM,dev_maf1,test_acc,test_bacc,test_maf1,test_bmaf1,mark,BatchNo
Amazon,TextCNN,Noun,1,0.7247239593036351,0.715,0.715,0.7147139214601308,0.7145805920366316,0,40,0
SCIERC,TextCNN,Normal,1,0.3141012965812328,0.5871687587168759,0.6317991631799164,0.4557444680719459,0.45291461648155795,0,40,0
Economy,TextCNN,Normal,1,0.599397486743234,0.7550335570469798,0.7399328859060402,0.5648764876487649,0.5664681561991112,0,40,0
Amazon,TextCNN,Noun,1,0.712707674491114,0.7066666666666667,0.6983333333333334,0.70560685133146,0.6969181092825109,1,40,0
SCIERC,TextCNN,Normal,1,0.3033040204577406,0.6192468619246861,0.6304044630404463,0.4417565297253165,0.43436706567534183,1,40,0
Economy,TextCNN,Normal,1,0.49373191899710706,0.7818791946308725,0.7785234899328859,0.5307655038759691,0.5380821531740999,1,40,0
SCIERC,TextCNN,Normal,1,0.309177269878435,0.6345885634588564,0.6401673640167364,0.4836727314418826,0.4811038599283548,2,40,0
Amazon,TextCNN,Noun,1,0.7215512614063339,0.7083333333333334,0.7116666666666667,0.7060396258584343,0.7111652173913043,2,40,0
Economy,TextCNN,Normal,1,0.5312332583306547,0.7986577181208053,0.7919463087248322,0.5668604651162792,0.5476336214283966,2,40,0
SCIERC,TextCNN,Normal,1,0.34313447716631007,0.5690376569037657,0.5913528591352859,0.39571390495255965,0.3735439125671964,3,40,0
Amazon,TextCNN,Noun,1,0.6969181092825109,0.7266666666666667,0.72,0.7266545179785768,0.7196885428253614,3,40,0
Economy,TextCNN,Normal,1,0.5329670329670331,0.7785234899328859,0.7785234899328859,0.5795549284935548,0.5795549284935548,3,40,0
SCIERC,TextCNN,Normal,1,0.3174091654401074,0.6150627615062761,0.6290097629009763,0.47017739832325,0.46261906341318476,4,40,0
Amazon,TextCNN,Noun,1,0.6916752312435765,0.6883333333333334,0.6916666666666667,0.6852902650349632,0.687773374100942,4,40,0
Economy,TextCNN,Normal,1,0.5162327225972356,0.7734899328859061,0.7734899328859061,0.5048463029631681,0.5048463029631681,4,40,0
SCIERC,TextCNN,Normal,1,0.3028712443829292,0.6290097629009763,0.6485355648535565,0.4941674567563809,0.48457771048285553,5,40,0
Amazon,TextCNN,Noun,1,0.7229608696135916,0.7166666666666667,0.7216666666666667,0.7165123233760604,0.721387280022467,5,40,0
Economy,TextCNN,Normal,1,0.527594193693225,0.7785234899328859,0.7734899328859061,0.5831991184199372,0.5826914997899454,5,40,0
SCIERC,TextCNN,Normal,1,0.31059997599061795,0.6136680613668062,0.6415620641562064,0.46886339235759716,0.46676744994475033,6,40,0
Amazon,TextCNN,Noun,1,0.6949703817925967,0.7016666666666667,0.7116666666666667,0.698340874811463,0.708242569039421,6,40,0
Economy,TextCNN,Normal,1,0.5215521271622253,0.7936241610738255,0.7936241610738255,0.5629326226546709,0.5629326226546709,6,40,0
News,TextRCNN,Noun,1,0.7304153581894716,0.7643800596506178,0.7605453770771198,0.7671869503572759,0.7593053802628706,0,40,0
SCIERC,TextCNN,Normal,1,0.30737488326749407,0.5801952580195258,0.6108786610878661,0.41542533357483996,0.40449565084815153,7,40,0
Amazon,TextCNN,Noun,1,0.6912884950731313,0.7283333333333334,0.7283333333333334,0.7276972037454164,0.7276061931990676,7,40,0
Economy,TextCNN,Normal,1,0.5564115308151093,0.7651006711409396,0.7634228187919463,0.5827582758275828,0.5846689895470384,7,40,0
SCIERC,TextCNN,Normal,1,0.2926299107000413,0.5871687587168759,0.6359832635983264,0.4587322532366955,0.4653334916186394,8,40,0
Amazon,TextCNN,Noun,1,0.704959841756239,0.7216666666666667,0.7283333333333334,0.7215359432622537,0.7281634354805087,8,40,0
SCIERC,TextCNN,Normal,1,0.28106484464934217,0.6178521617852162,0.6234309623430963,0.453744456534408,0.4424284818441894,9,40,0
Economy,TextCNN,Normal,1,0.5410837438423645,0.7734899328859061,0.7667785234899329,0.5992369263873047,0.5936928320949508,8,40,0
Amazon,TextCNN,Noun,1,0.7147139214601308,0.7133333333333334,0.7133333333333334,0.7125155999286861,0.7126148705096074,9,40,0
SCIERC,TextCNN,Normal,1,0.2857814477551784,0.6178521617852162,0.6178521617852162,0.43210791520286695,0.4303724329206326,10,40,0
Economy,TextCNN,Normal,1,0.5172605213232558,0.790268456375839,0.790268456375839,0.5814018822868381,0.5853163006874287,9,40,0
Amazon,TextCNN,Noun,1,0.7246627118219819,0.7133333333333334,0.7183333333333334,0.7132536815782162,0.7182386302062638,10,40,0
SCIERC,TextCNN,Normal,1,0.28232271342619236,0.6206415620641562,0.6262203626220363,0.46625003720933295,0.45548930290533235,11,40,0
Economy,TextCNN,Normal,1,0.5485988733639584,0.7802013422818792,0.7768456375838926,0.5571085786246291,0.5668202261313398,10,40,0
