DatasetName,BaseModel,Stereotype,Epoch,TestAcc,TestBAcc,TestmaF1,TestBmaF1,DevmaF1,TestDevmaF1,FactualKeywordFairness,CounterfactualKeywordFairness,Batch,NGRAM
Amazon,TextRCNN,RandomMask,1,0.63,0.5716666666666667,0.6093337556752191,0.4986327826530844,0.5762902862294343,0.5025344730604534,19.863690910801306,17.7409492910933,1,1
Amazon,TextRCNN,Normal,1,0.6383333333333333,0.565,0.6230009931694265,0.48617832827495694,0.6146840409135491,0.4932151487579858,19.946644603628066,17.24307071829477,1,1
Amazon,TextRCNN,Noun,1,0.5966666666666667,0.5766666666666667,0.5527573801192647,0.5081078289609585,0.5636974360378616,0.5093333333333334,19.67925607044611,18.69018917250638,1,1
Economy,TextRCNN,Normal,1,0.7802013422818792,0.7919463087248322,0.5845584909676218,0.44194756554307113,0.49903237156931735,0.44183864915572235,21.576155433880274,18.873647996347824,1,1
Economy,TextRCNN,RandomMask,1,0.7768456375838926,0.7919463087248322,0.5922742586734563,0.44194756554307113,0.4123104503516945,0.44183864915572235,21.576155433880274,18.765716293900773,1,1
Economy,TextRCNN,Noun,1,0.785234899328859,0.7919463087248322,0.5922956882361744,0.44194756554307113,0.3869729631810154,0.44183864915572235,21.576155433880274,19.000281456528366,1,1
Amazon,TextRCNN,Keyword,1,0.6066666666666667,0.6066666666666667,0.5677655677655677,0.5677655677655677,0.5832541793313071,0.5977046209604349,18.367528850901476,18.367528850901476,1,2
Economy,TextRCNN,Keyword,1,0.7936241610738255,0.7919463087248322,0.580115813529907,0.44194756554307113,0.4865555210382796,0.44183864915572235,21.576155433880274,19.24210646639491,1,2
Amazon,TextRCNN,RandomMask,2,0.6666666666666666,0.6833333333333333,0.6665332799786581,0.6828258547008548,0.6814109104253137,0.669971604155789,16.21991497587962,16.21191545009352,1,1
Amazon,TextRCNN,Normal,2,0.6716666666666666,0.68,0.6715562730806743,0.6789691342198838,0.6785714285714286,0.6680064376416661,16.21208598026192,16.17649857512677,1,1
Amazon,TextRCNN,Noun,2,0.675,0.6733333333333333,0.6743405395926751,0.6726203732573159,0.6763754045307444,0.6795293051714351,16.20529496561443,16.202038827147767,1,1
Economy,TextRCNN,Normal,2,0.738255033557047,0.7919463087248322,0.6119791666666666,0.44194756554307113,0.5631478131754997,0.44183864915572235,21.576155433880274,17.24979317682872,1,1
Economy,TextRCNN,RandomMask,2,0.7483221476510067,0.7919463087248322,0.6181314926189174,0.44194756554307113,0.5548022855069835,0.44183864915572235,21.576155433880274,17.427608672662316,1,1
Economy,TextRCNN,Noun,2,0.7348993288590604,0.7919463087248322,0.6236892583120204,0.44194756554307113,0.5643995004482655,0.44183864915572235,21.576155433880274,17.100433166696245,1,1
Amazon,TextRCNN,Keyword,2,0.695,0.695,0.6938357252998206,0.6938357252998206,0.6745217277610711,0.7023809523809524,16.235194453404816,16.235194453404816,1,2
Economy,TextRCNN,Keyword,2,0.7734899328859061,0.7919463087248322,0.5928281892847925,0.44194756554307113,0.549413101098069,0.44183864915572235,21.576155433880274,18.641525587994845,1,2
Amazon,TextRCNN,RandomMask,3,0.6833333333333333,0.6333333333333333,0.6811188811188812,0.6005036075734831,0.6581728644836048,0.6055394142472377,18.367131445713653,16.42094374145045,1,1
Amazon,TextRCNN,Noun,3,0.68,0.6416666666666667,0.6790871813157425,0.6146020990741488,0.6716657546270963,0.6224786970121885,17.805860852085345,16.2533418606141,1,1
Amazon,TextRCNN,Normal,3,0.6683333333333333,0.6133333333333333,0.6605244527591627,0.5722240660840064,0.630926227765573,0.5715862128653958,18.665013255228175,16.78282472078711,1,1
Economy,TextRCNN,RandomMask,3,0.7751677852348994,0.7919463087248322,0.6414152298850575,0.44194756554307113,0.5652854608078489,0.44183864915572235,21.576155433880274,17.787376623171216,1,1
Economy,TextRCNN,Normal,3,0.7634228187919463,0.7919463087248322,0.6421060700916071,0.44194756554307113,0.568840579710145,0.44183864915572235,21.576155433880274,17.37337402402325,1,1
Economy,TextRCNN,Noun,3,0.7516778523489933,0.7919463087248322,0.6399555903866249,0.44194756554307113,0.5580683040009055,0.44183864915572235,21.576155433880274,17.10151940637076,1,1
Amazon,TextRCNN,Keyword,3,0.6366666666666667,0.635,0.6362625139043382,0.6051386071670047,0.6532986631996534,0.6115756479008524,18.38042625167016,16.164733599596232,1,2
Economy,TextRCNN,Keyword,3,0.7802013422818792,0.7919463087248322,0.6505838073458137,0.44194756554307113,0.5375791426173279,0.44183864915572235,21.576155433880274,17.754376321820292,1,2
Amazon,TextRCNN,Idiom,1,0.6233333333333333,0.59,0.6053734401192028,0.5364088647670737,0.6010532195005187,0.5439469320066336,19.170377853839444,17.353254955319727,1,1
Amazon,TextRCNN,RandomMask,4,0.685,0.7083333333333334,0.684262401888857,0.7041911882780829,0.6916752312435765,0.6794547356345109,16.599156537176995,16.25362169616904,1,1
Amazon,TextRCNN,Noun,4,0.6883333333333334,0.7033333333333334,0.6878746825195914,0.7014224369296833,0.6849991249975693,0.6811188811188812,16.39846338407288,16.231038713059714,1,1
Amazon,TextRCNN,Normal,4,0.6916666666666667,0.7083333333333334,0.6914738378153011,0.7075526614100418,0.6833737725149448,0.6907311283298645,16.40825742518219,16.25289166441872,1,1
Parties,TextRCNN,RandomMask,1,0.4945328031809145,0.4945328031809145,0.45513935299056335,0.45513935299056335,0.3130761351997269,0.45062779497764016,17.12701570541554,17.12701570541554,1,1
Parties,TextRCNN,Normal,1,0.4696819085487077,0.4696819085487077,0.4360996915470009,0.4360996915470009,0.3130761351997269,0.4588937657628781,16.154418608696865,16.154418608696865,1,1
Parties,TextRCNN,Noun,1,0.4801192842942346,0.4801192842942346,0.44135500647157444,0.44135500647157444,0.3130761351997269,0.4614000624354099,16.455314756222197,16.455314756222197,1,1
Economy,TextRCNN,RandomMask,4,0.7869127516778524,0.7919463087248322,0.6041027035791433,0.44194756554307113,0.5772181923208654,0.44183864915572235,21.576155433880274,19.406601921858186,1,1
Economy,TextRCNN,Normal,4,0.7869127516778524,0.7919463087248322,0.6074208923949856,0.44194756554307113,0.5657245080500894,0.44183864915572235,21.576155433880274,18.79732334740649,1,1
Economy,TextRCNN,Noun,4,0.7953020134228188,0.7919463087248322,0.6392395014686036,0.44194756554307113,0.5784062896444042,0.44183864915572235,21.576155433880274,18.66825130868235,1,1
Amazon,TextRCNN,Keyword,4,0.69,0.7066666666666667,0.6891157068996256,0.7037037037037037,0.6749990972197145,0.686240733335384,16.552057433548935,16.324532380214755,1,2
Economy,TextRCNN,Keyword,4,0.7869127516778524,0.7919463087248322,0.6472731848027178,0.44194756554307113,0.5543142192330985,0.44183864915572235,21.576155433880274,18.072063909397983,1,2
